business_activities,cuisine_name,license_no,licensing_agency,number_of_employees,latitude,longitude
Cafeteria,Others,104439,Department of Economic Development- Dubai,4,25.27473868371958,55.30363583707776
Restaurant,Pakistani cuisine,650223,Department of Economic Development- Dubai,11,25.17984993022021,55.35041660070419
Restaurant,Italian Cuisine,1005003,Department of Economic Development- Dubai,49,25.072694249679326,55.15342712402344
Restaurant,Indian cuisine,910888,Department of Economic Development- Dubai,1,25.276922,55.3085328
Coffee Shop,Others,854931,Department of Economic Development- Dubai,3,25.175514867775803,55.41263210539245
Restaurant,Chinese cuisine,973075,Department of Economic Development- Dubai,21,25.114264242007906,55.13875531323082
Coffee Shop,Not Applicable,633930,Department of Economic Development- Dubai,12,25.18689656353552,55.27699758266829
Restaurant,Indian cuisine,118581,Department of Economic Development- Dubai,1,25.289544772769048,55.327081473125645
Cafeteria,Indian cuisine,125041,Department of Economic Development- Dubai,1,25.256908563162515,55.28882953675543
Grocery Store,Not Applicable,584460,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Italian Cuisine,629906,Department of Economic Development- Dubai,14,25.04470650169212,55.12053905110315
Coffee Shop,International cuisine,735343,Department of Economic Development- Dubai,13,25.264674101132137,55.29231396113528
Cafeteria,Indian cuisine,106102,Department of Economic Development- Dubai,5,25.204929,55.27084
Restaurant,Indian cuisine,566254,Department of Economic Development- Dubai,17,25.27995274421371,55.348660439632106
Two Star Hotel,Indian cuisine,227710,Department of Economic Development- Dubai,18,25.2597038,55.2885429
Supermarket,Not Applicable,756252,Department of Economic Development- Dubai,3,,
Meat Seller,Not Applicable,616470,Department of Economic Development- Dubai,0,25.1684678,55.4011482
Restaurant,Arabic cuisine,1105836,Department of Economic Development- Dubai,12,25.20226189628092,55.25080204
Cafeteria,Others,1415631,Department of Economic Development- Dubai,5,25.2432332,55.2768997
Restaurant,International cuisine,733975,Department of Economic Development- Dubai,3,25.184842252842543,55.26424124836922
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,209028,Department of Economic Development- Dubai,1,25.264324851481465,55.29235787
Dry Food Trading,Not Applicable,777871,Department of Economic Development- Dubai,1,25.262065901392763,55.29552377305731
Cafeteria,Not Applicable,822848,Department of Economic Development- Dubai,7,25.15316572461385,55.21713830530644
Restaurant,Japanese Cuisine,1223070,Department of Economic Development- Dubai,28,25.084510605832985,55.22226333618164
Restaurant,African cuisine,780311,Department of Economic Development- Dubai,18,25.271409758043458,55.30937305588917
Coffee Shop,Not Applicable,833687,Department of Economic Development- Dubai,0,25.2188293,55.2614168
Supermarket,International cuisine,860860,Department of Economic Development- Dubai,32,25.198516888365862,55.27087917919312
Cafeteria,Indian cuisine,524002,Department of Economic Development- Dubai,2,25.204929,55.27084
Cafeteria,Indian cuisine,556683,Department of Economic Development- Dubai,5,25.276924673777746,55.30661810622189
Restaurant,Italian Cuisine,807318,Department of Economic Development- Dubai,22,25.07737652105633,55.13192625219119
Restaurant,Pakistani cuisine,751215,Department of Economic Development- Dubai,5,25.26709991452441,55.42675226926804
Restaurant,,1463887,Department of Economic Development- Dubai,1,25.26012952687131,55.19525199414056
Restaurant,Chinese cuisine,663214,Department of Economic Development- Dubai,13,25.204929,55.27084
Coffee Shop,Not Applicable,831185,Department of Economic Development- Dubai,0,,
Restaurant,Not Applicable,922663,Department of Economic Development- Dubai,2,25.21492227021441,55.365812255041504
Medical Herbs Trading,Not Applicable,233211,Department of Economic Development- Dubai,1,25.2692073,55.2947213
Restaurant,Indian cuisine,749189,Department of Economic Development- Dubai,32,25.254139836096364,55.32874906346831
Fish & Marine Animals Trading,,128811,Department of Economic Development- Dubai,0,25.204929,55.27084
Cafeteria,Indian cuisine,849682,Department of Economic Development- Dubai,11,25.272145959260826,55.33032953739162
School,Not Applicable,1308267,Department of Economic Development- Dubai,3,25.26012952687131,55.19525199414056
Coffee Shop,International cuisine,755163,Department of Economic Development- Dubai,0,25.1981791,55.2796837
Cafeteria,Indian cuisine,233842,Department of Economic Development- Dubai,9,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,228881,Department of Economic Development- Dubai,1,25.26337640496036,55.29673652935333
Coffee Shop,International cuisine,917514,Department of Economic Development- Dubai,2,25.20755520546353,55.262915027809605
Restaurant,Pakistani cuisine,1373797,Department of Economic Development- Dubai,1,25.26012952687131,55.19525199414056
Mini Store,International cuisine,924374,Department of Economic Development- Dubai,4,25.20804746501281,55.26303291320801
Restaurant,Chinese cuisine,732407,Department of Economic Development- Dubai,15,25.25400311128296,55.30269507318735
Restaurant,Indian cuisine,544554,Department of Economic Development- Dubai,8,25.27422750152971,55.302673621623626
Restaurant,Pakistani cuisine,655143,Department of Economic Development- Dubai,17,,
General Trading,Not Applicable,1418890,Department of Economic Development- Dubai,3,,
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,540508,Department of Economic Development- Dubai,1,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,663359,Department of Economic Development- Dubai,0,25.2616575,55.2874828
Restaurant,Italian Cuisine,1105217,Department of Economic Development- Dubai,12,24.97753886,55.17467021942139
Restaurant,Not Applicable,695383,Department of Economic Development- Dubai,1,25.204929,55.27084
Restaurant,Not Applicable,1215595,Department of Economic Development- Dubai,10,25.241371316258515,55.35966418683529
Restaurant,,745287,Department of Economic Development- Dubai,2,25.181198251009977,55.264945668717246
Coffee Shop,Not Applicable,821331,Department of Economic Development- Dubai,0,25.276766,55.4121152
Restaurant,International cuisine,724251,Department of Economic Development- Dubai,20,25.18756627996907,55.26121230558419
Restaurant,International cuisine,543423,Department of Economic Development- Dubai,2,25.25720635148936,55.31170264744787
Grocery Store,Others,888787,Department of Economic Development- Dubai,0,25.23973975,55.298374369740486
Grocery Store,Not Applicable,650520,Department of Economic Development- Dubai,1,25.23368847341476,55.28017408737183
Restaurant,Indian cuisine,1023747,Department of Economic Development- Dubai,8,,
Hypermarket,Indian cuisine,556896,Department of Economic Development- Dubai,57,25.147654339853183,55.24568438529968
Cafeteria,Arabic cuisine,557407,Department of Economic Development- Dubai,2,25.2387486,55.3490669
Mini Store,Indian cuisine,808390,Department of Economic Development- Dubai,3,25.118089608756247,55.38141792499999
Confectionary & Chocolate Trading,Others,550532,Department of Economic Development- Dubai,3,25.22961473,55.31920105218887
Restaurant,Indian cuisine,868196,Department of Economic Development- Dubai,5,25.028333876522726,55.10667085647583
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,545791,Department of Economic Development- Dubai,1,25.204929,55.27084
Cafeteria,Indian cuisine,774612,Department of Economic Development- Dubai,6,25.204929,55.27084
Coffee Shop,Not Applicable,666652,Department of Economic Development- Dubai,1,,
Restaurant,International cuisine,1092982,Department of Economic Development- Dubai,29,25.14481842903966,55.34731864929199
Hypermarket,,660727,Department of Economic Development- Dubai,0,25.204929,55.27084
Hypermarket,Others,786080,Department of Economic Development- Dubai,85,25.23006117494302,55.38223028182984
Food stuff Supply Services,Not Applicable,1010775,Department of Economic Development- Dubai,0,,
Confectionary & Chocolate Trading,Not Applicable,1223945,Department of Economic Development- Dubai,6,25.19500042430753,55.27187347412109
Juice and Soft Drinks Shop,Others,941107,Department of Economic Development- Dubai,1,25.24093067322645,55.30311584472656
Catering Services,International cuisine,700863,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Arabic cuisine,1071163,Department of Economic Development- Dubai,38,25.23440909088103,55.474305152893066
Department Store,International cuisine,522920,Department of Economic Development- Dubai,208,,
General Trading,Not Applicable,888172,Department of Economic Development- Dubai,1,25.18067257,55.267451801301846
Mini Store,Not Applicable,752365,Department of Economic Development- Dubai,18,25.18702856724156,55.26069872
Malls/SME/Intaleq,French Cuisine,912419,Department of Economic Development- Dubai,64,25.15876623635561,55.20924750223028
Four Star Hotels,International cuisine,788672,Department of Economic Development- Dubai,18,25.11354579001672,55.201952185906976
Restaurant,Indian cuisine,985699,Department of Economic Development- Dubai,1,25.26012952687131,55.19525199414056
Vegetable and Fruit Trading,Others,219049,Department of Economic Development- Dubai,2,25.204929,55.27084
Restaurant,International cuisine,1124962,Department of Economic Development- Dubai,10,25.027205240029147,55.18159994786342
Coffee Shop,Not Applicable,746463,Department of Economic Development- Dubai,0,25.18573291319537,55.27578787380946
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,836728,Department of Economic Development- Dubai,0,25.16218978,55.43773792684078
Dry Food Trading,Not Applicable,952531,Department of Economic Development- Dubai,2,25.03474982236657,55.15531539916992
Coffee Shop,Not Applicable,651771,Department of Economic Development- Dubai,0,25.2696909,55.3071687
Restaurant,Pakistani cuisine,659392,Department of Economic Development- Dubai,1,25.27823539373908,55.31300421088088
Preparation of Sweets and Candies,Arabic cuisine,893741,Department of Economic Development- Dubai,4,25.108160843932648,55.222916789352894
Restaurant,Pakistani cuisine,1024789,Department of Economic Development- Dubai,9,25.2752399,55.3606692
Supermarket,Not Applicable,1051304,Department of Economic Development- Dubai,4,24.99134816084916,55.10553359985352
Restaurant,Arabic cuisine,675551,Department of Economic Development- Dubai,23,25.097669823084207,55.15669233898234
Grocery Store,Not Applicable,654480,Department of Economic Development- Dubai,1,25.29743595276809,55.389712019508025
Restaurant,Indian cuisine,728599,Department of Economic Development- Dubai,15,25.231854163572145,55.27779565391461
Food & Beverages Trading (Sub-activity of Food Service),African cuisine,617120,Department of Economic Development- Dubai,1,25.2710103,55.3131531
Restaurant,Indian cuisine,630183,Department of Economic Development- Dubai,0,25.233852836489923,55.28008291904905
General Trading Wholesalers,Not Applicable,544628,Department of Economic Development- Dubai,1,25.204929,55.27084
School,Not Applicable,716649,Department of Economic Development- Dubai,2,25.2612977,55.3153147
Restaurant,Indian cuisine,1039821,Department of Economic Development- Dubai,17,25.27327532526818,55.33255577087402
Grocery Store,Not Applicable,935155,Department of Economic Development- Dubai,4,25.1556019,55.2458013
Coffee Shop,Not Applicable,1502761,Department of Economic Development- Dubai,3,25.221728378352488,55.35320099799458
Dates Trading,Not Applicable,768127,Department of Economic Development- Dubai,0,25.188514070458176,55.38023944660972
Dairy Product Manufacturing,,524577,Department of Economic Development- Dubai,1,25.204929,55.27084
Restaurant,Italian Cuisine,663138,Department of Economic Development- Dubai,1,25.19671779227121,55.27708774920548
Coffee Shop,Not Applicable,772203,Department of Economic Development- Dubai,6,25.23662462414978,55.42090197959215
Coffee Shop,International cuisine,1059247,Department of Economic Development- Dubai,2,25.2292206,55.4360967
Three Star Hotel,Indian cuisine,221018,Department of Economic Development- Dubai,22,25.27256403392412,55.30674371459723
Coffee Shop,Not Applicable,1414871,Department of Economic Development- Dubai,13,25.26012952687131,55.19525199414056
Bread & Bakery Products Trading,Not Applicable,929596,Department of Economic Development- Dubai,1,25.053704065589308,55.20275831222534
Cafeteria,Indian cuisine,648229,Department of Economic Development- Dubai,1,25.271017766203137,55.313311353600966
Food & Beverages Trading (Sub-activity of Food Service),Others,920793,Department of Economic Development- Dubai,1,25.2730914,55.3082736
Restaurant,American Cuisine,811286,Department of Economic Development- Dubai,0,,
Meat Trading,Others,834133,Department of Economic Development- Dubai,0,25.2715171,55.309404
Restaurant,Others,709384,Department of Economic Development- Dubai,0,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Food Service),African cuisine,837805,Department of Economic Development- Dubai,0,25.2607876,55.3296544
Restaurant,International cuisine,875840,Department of Economic Development- Dubai,69,25.10825709225114,55.14155692676543
Restaurant,Others,702219,Department of Economic Development- Dubai,4,25.277207908809995,55.31322560369813
Restaurant,Indian cuisine,725854,Department of Economic Development- Dubai,2,25.091876107741065,55.38390223851047
Dry Food Trading,Not Applicable,805128,Department of Economic Development- Dubai,8,,
Restaurant,Indian cuisine,1038747,Department of Economic Development- Dubai,4,25.16194592811142,55.41834404965495
Restaurant,Philippines Cuisine,630551,Department of Economic Development- Dubai,12,25.23789131487152,55.27954794466507
Malls/SME/Intaleq,Not Applicable,1210502,Department of Economic Development- Dubai,21,25.19378204668332,55.24513050913811
General Trading,Not Applicable,904622,Department of Economic Development- Dubai,1,25.2767956,55.3121484
Cafeteria,Not Applicable,517494,Department of Economic Development- Dubai,6,25.2567508,55.2899876
Coffee Shop,Arabic cuisine,1103433,Department of Economic Development- Dubai,21,,
Restaurant,Turkish cuisine,1210608,Department of Economic Development- Dubai,25,25.22000602,55.254878997802734
Restaurant,Japanese Cuisine,815960,Department of Economic Development- Dubai,17,25.218294812210065,55.26083568864135
Catering Services,International cuisine,820884,Department of Economic Development- Dubai,9,25.26012952687131,55.19525199414056
Hotel Apartments,International cuisine,1255399,Department of Economic Development- Dubai,1,,
Restaurant,Indian cuisine,750588,Department of Economic Development- Dubai,10,25.1762552,55.5409949
Restaurant,Indian cuisine,540631,Department of Economic Development- Dubai,26,25.26729354235797,55.31565399574174
Malls/SME/Intaleq,Arabic cuisine,1408034,Department of Economic Development- Dubai,7,25.2783013,55.3516523
Coffee Shop,Not Applicable,849908,Department of Economic Development- Dubai,9,25.1900596,55.4044326
Department Store,International cuisine,1196097,Department of Economic Development- Dubai,13,25.26472917432224,55.31490884721279
Confectionary & Chocolate Trading,International cuisine,1014698,Department of Economic Development- Dubai,1,25.085543328857423,55.241295620799065
Supermarket,Not Applicable,872250,Department of Economic Development- Dubai,1,,
Fish & Marine Animals Trading,Not Applicable,539144,Department of Economic Development- Dubai,0,,
Safari location,International cuisine,734078,Department of Economic Development- Dubai,12,25.18614052885148,55.38301498574983
School,,600887,Department of Economic Development- Dubai,1,25.2111537,55.27154624462128
Bakery Products Manufacturing,Not Applicable,571048,Department of Economic Development- Dubai,10,25.16775842483717,55.249420478912725
Coffee Shop,Indian cuisine,811678,Department of Economic Development- Dubai,2,25.24422290056756,55.31060224716509
Restaurant,International cuisine,1158814,Department of Economic Development- Dubai,23,25.09310948242513,55.38130458444357
Grocery Store,Not Applicable,220769,Department of Economic Development- Dubai,4,25.263615495625885,55.41366543620825
Hotel,International cuisine,624417,Department of Economic Development- Dubai,1,25.0978077,55.1797424
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,670992,Department of Economic Development- Dubai,0,25.2621666,55.2877866
Restaurant,American Cuisine,834215,Department of Economic Development- Dubai,0,25.22894355254397,55.286350629508206
Supermarket,Others,1107020,Department of Economic Development- Dubai,51,25.27939312289159,55.33096790313721
Cafeteria,Indian cuisine,568332,Department of Economic Development- Dubai,10,25.13403889469943,55.24014781
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,820217,Department of Economic Development- Dubai,13,25.16999874249541,55.39252532264652
Coffee Shop,Philippines Cuisine,981748,Department of Economic Development- Dubai,51,25.11537514394925,55.20516295881727
Restaurant,Not Applicable,750584,Department of Economic Development- Dubai,15,25.185693411796365,55.27984000718848
General Trading,International cuisine,920896,Department of Economic Development- Dubai,1,25.2689528,55.2963383
Cafeteria,Indian cuisine,104574,Department of Economic Development- Dubai,9,25.27484730524334,55.33712375500441
Restaurant,Not Applicable,1196891,Department of Economic Development- Dubai,24,25.19605300530201,55.27103426261037
Mini Store,Not Applicable,649245,Department of Economic Development- Dubai,2,25.249429070281696,55.30534878373135
Pastry Preparing,Italian Cuisine,824861,Department of Economic Development- Dubai,0,25.183844085476235,55.22645550895163
General Trading,International cuisine,918370,Department of Economic Development- Dubai,0,25.200346479083265,55.260654716570784
Restaurant,International cuisine,1086985,Department of Economic Development- Dubai,6,25.2373353,55.3044325
Mini Store,Not Applicable,665504,Department of Economic Development- Dubai,0,25.204929,55.27084
Grocery Store,Not Applicable,219823,Department of Economic Development- Dubai,1,25.25847872,55.29347046801091
Restaurant,Not Applicable,1217957,Department of Economic Development- Dubai,6,,
Supermarket,Not Applicable,235900,Department of Economic Development- Dubai,4,25.245603288244155,55.300776511458025
Grocery Store,Others,235412,Department of Economic Development- Dubai,1,25.27219491404728,55.31171523526052
Hospitality Services,International cuisine,797780,Department of Economic Development- Dubai,3,25.187788,55.4360967
Restaurant,Arabic cuisine,1026892,Department of Economic Development- Dubai,1,25.22867906558177,55.432194136083126
Mini Store,Not Applicable,907307,Department of Economic Development- Dubai,6,24.99523782419641,55.10948181152344
Vegetable and Fruit Trading,Not Applicable,209151,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Not Applicable,1081539,Department of Economic Development- Dubai,5,25.24401665718492,55.29873847961426
Food Kiosk,Not Applicable,746159,Department of Economic Development- Dubai,4,25.22202600058925,55.35281347319642
Malls/SME/Intaleq,International cuisine,1309257,Department of Economic Development- Dubai,6,,
Cafeteria,Not Applicable,802927,Department of Economic Development- Dubai,1,25.27165502685781,55.30719961403236
Supermarket,Not Applicable,226209,Department of Economic Development- Dubai,7,25.00035006746097,55.10706177323004
Supermarket,Not Applicable,862903,Department of Economic Development- Dubai,37,,
Catering Services,Pakistani cuisine,872652,Department of Economic Development- Dubai,80,25.12536347046488,55.23866772651672
Coffee Shop,Not Applicable,1016444,Department of Economic Development- Dubai,2,25.198262315555308,55.23925781
Coffee Shop,Others,1055235,Department of Economic Development- Dubai,10,25.187765521719086,55.28433904051781
Restaurant,,716853,Department of Economic Development- Dubai,35,25.09668390191804,55.18111439307722
Restaurant,Indian cuisine,829880,Department of Economic Development- Dubai,31,25.1186187,55.2172515
Restaurant,Chinese cuisine,854406,Department of Economic Development- Dubai,2,,
Cafeteria,Not Applicable,792230,Department of Economic Development- Dubai,8,,
Mini Store,Not Applicable,591519,Department of Economic Development- Dubai,19,25.253384212733668,55.41449155658484
Restaurant,Indian cuisine,903386,Department of Economic Development- Dubai,32,25.1857733,55.4047707
Supermarket,Not Applicable,1339973,Department of Economic Development- Dubai,3,25.26012952687131,55.19525199414056
Restaurant,Pakistani cuisine,1243075,Department of Economic Development- Dubai,30,24.846721119883394,55.06793975830078
Restaurant,Indian cuisine,971287,Department of Economic Development- Dubai,30,25.07502651556345,55.14141082763672
Restaurant,International cuisine,1102298,Department of Economic Development- Dubai,46,25.218302742210746,55.420008646724455
Restaurant,International cuisine,750851,Department of Economic Development- Dubai,1,25.1890381,55.2701348
Cafeteria,Indian cuisine,942578,Department of Economic Development- Dubai,13,25.27465874640629,55.32903671264648
Restaurant,International cuisine,620138,Department of Economic Development- Dubai,10,25.19501699388596,55.276165905670496
General Trading,Not Applicable,1230375,Department of Economic Development- Dubai,9,25.2818827,55.3883499
Grocery Store,Not Applicable,220815,Department of Economic Development- Dubai,0,25.26020949050501,55.28875715621949
Coffee Shop,Not Applicable,595037,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,American Cuisine,13106,Department of Economic Development- Dubai,27,25.2617952,55.3148767
Private Hospital,International cuisine,571641,Department of Economic Development- Dubai,23,25.10586989204253,55.18062204122543
Dairy Product Manufacturing,Not Applicable,959174,Department of Economic Development- Dubai,39,24.9805558,55.1927943
Restaurant,Indian cuisine,121244,Department of Economic Development- Dubai,17,25.27414800152564,55.30383296543937
Grocery Store,Not Applicable,247288,Department of Economic Development- Dubai,1,24.9978865,55.6615705
Restaurant,International cuisine,637862,Department of Economic Development- Dubai,16,25.24384378110725,55.31389012524129
Coffee Shop,Others,884201,Department of Economic Development- Dubai,2,25.18264561095935,55.38001417076054
Confectionary & Chocolate Trading,Not Applicable,623207,Department of Economic Development- Dubai,10,25.21478641280801,55.251593809213645
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,940920,Department of Economic Development- Dubai,0,25.26449085461087,55.29118537902832
Food Stuff Supply Services,Not Applicable,749370,Department of Economic Development- Dubai,9,25.18123411114767,55.35968765616417
Fresh & Chilled & Frozen Meat Trading,Not Applicable,913558,Department of Economic Development- Dubai,0,,
Coffee Shop,International cuisine,758698,Department of Economic Development- Dubai,13,25.248552474583573,55.48014191844732
Restaurant,Turkish cuisine,129168,Department of Economic Development- Dubai,13,25.28098359317752,55.31401531292431
Water Purification,Others,509110,Department of Economic Development- Dubai,23,25.263067805715053,55.39625272114256
Coffee Trading,Not Applicable,816139,Department of Economic Development- Dubai,3,25.192549094369056,55.24493873119354
Banqueting,Arabic cuisine,513334,Department of Economic Development- Dubai,0,25.282017930043462,55.39399981498718
Four Star Hotels,International cuisine,1032716,Department of Economic Development- Dubai,22,25.26728563178824,55.30724569481199
Restaurant,International cuisine,809414,Department of Economic Development- Dubai,18,25.28893038457163,55.36834104876857
Restaurant,Chinese cuisine,860057,Department of Economic Development- Dubai,0,,
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,554982,Department of Economic Development- Dubai,8,25.3875741,55.458247
Coffee Shop,Not Applicable,1457495,Department of Economic Development- Dubai,6,25.26012952687131,55.19525199414056
Grocery Store,Not Applicable,219482,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Indian cuisine,117012,Department of Economic Development- Dubai,1,25.2601901,55.2864688
Restaurant,Not Applicable,122538,Department of Economic Development- Dubai,5,25.204929,55.27084
Restaurant,Not Applicable,1113871,Department of Economic Development- Dubai,7,25.29613459383173,55.39563051527674
Four Star Hotels,International cuisine,648544,Department of Economic Development- Dubai,84,25.2634612,55.3268582
Supermarket,Not Applicable,889575,Department of Economic Development- Dubai,0,24.89385348486676,54.95738827246095
Bakery Products Manufacturing,International cuisine,923152,Department of Economic Development- Dubai,6,25.12239031894388,55.22047478562014
Restaurant,Pakistani cuisine,1093024,Department of Economic Development- Dubai,19,25.28955977,55.31187057495117
Supermarket,Not Applicable,777588,Department of Economic Development- Dubai,30,25.125919966695253,55.23167665561106
Restaurant,International cuisine,600919,Department of Economic Development- Dubai,1,25.204929,55.27084
Hotel,Pakistani cuisine,1115442,Department of Economic Development- Dubai,8,25.27496920298278,55.30457496643066
Malls/SME/Intaleq,Not Applicable,1406790,Department of Economic Development- Dubai,6,25.2246248,55.2831363
Supermarket,Not Applicable,1056447,Department of Economic Development- Dubai,3,25.18936957313424,55.267624855041504
Restaurant,Indian cuisine,928968,Department of Economic Development- Dubai,5,25.2497423,55.3066874
Coffee Shop,Arabic cuisine,917233,Department of Economic Development- Dubai,1,25.14114991798734,55.218119993805885
Frozen Fish & Sea Food Trading,Not Applicable,710287,Department of Economic Development- Dubai,0,25.442906154713587,55.52858741694331
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,822610,Department of Economic Development- Dubai,13,25.229785,55.2727778
Cafeteria,Arabic cuisine,986125,Department of Economic Development- Dubai,1,25.26012952687131,55.19525199414056
Restaurant,Arabic cuisine,786157,Department of Economic Development- Dubai,0,25.237915231928344,55.422907850115735
Supermarket,International cuisine,821148,Department of Economic Development- Dubai,9,,
General Trading,Not Applicable,1066141,Department of Economic Development- Dubai,4,,
Grocery Store,Not Applicable,878477,Department of Economic Development- Dubai,4,25.12294959625945,55.227879881858826
Pastry &  Sweets Manufacturing,Not Applicable,687598,Department of Economic Development- Dubai,18,24.99401564,55.15626442542112
Restaurant,Not Applicable,1125575,Department of Economic Development- Dubai,26,25.1573409,55.5161756
Supermarket,Not Applicable,943493,Department of Economic Development- Dubai,12,25.22176555333821,55.40748428553343
Food & Beverages Trading (Sub-activity of Food Service),Others,592169,Department of Economic Development- Dubai,0,25.274802308571065,55.33129235
Restaurant,Not Applicable,1187619,Department of Economic Development- Dubai,31,25.109456278381355,55.22106539458037
Restaurant,Indian cuisine,801678,Department of Economic Development- Dubai,1,25.250050111675563,55.30433423817158
Restaurant,Pakistani cuisine,704436,Department of Economic Development- Dubai,23,25.27922132712402,55.35164874047041
Confectionary & Chocolate Trading,Not Applicable,1415023,Department of Economic Development- Dubai,5,,
Restaurant,Not Applicable,634106,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Indian cuisine,799307,Department of Economic Development- Dubai,27,25.247514369204204,55.31040899875734
Grocery Store,Not Applicable,219142,Department of Economic Development- Dubai,0,,
Restaurant,,1492902,Department of Economic Development- Dubai,9,,
Cafeteria,International cuisine,574806,Department of Economic Development- Dubai,5,25.118736155039937,55.20019048
Cafeteria,Indian cuisine,867707,Department of Economic Development- Dubai,6,,
Cafeteria,Indian cuisine,830169,Department of Economic Development- Dubai,0,25.21798120105868,55.27396475896239
Fish & Marine Animals Trading,,129353,Department of Economic Development- Dubai,0,25.204929,55.27084
Food stuff Supply Services,Not Applicable,814290,Department of Economic Development- Dubai,5,24.98335965997733,55.21104303472862
Restaurant,Indian cuisine,1101056,Department of Economic Development- Dubai,13,25.220471917971324,55.33023834228516
Restaurant,Arabic cuisine,839534,Department of Economic Development- Dubai,1,25.308161041205192,55.33911157346165
Pastry Preparing,International cuisine,1067143,Department of Economic Development- Dubai,5,,
Cafeteria,Not Applicable,642902,Department of Economic Development- Dubai,15,25.278218740467256,55.347320289690046
Food & Beverages Trading (Sub-activity of Food Service),International cuisine,530380,Department of Economic Development- Dubai,18,25.217764556593348,55.27894730896514
Hypermarket,Not Applicable,668209,Department of Economic Development- Dubai,43,25.28206809215735,55.39801138386326
Restaurant,International cuisine,915716,Department of Economic Development- Dubai,19,,
Cafeteria,Indian cuisine,833919,Department of Economic Development- Dubai,32,25.16837345,55.25779026327655
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,968311,Department of Economic Development- Dubai,1,24.99803094900957,55.17274995689544
Restaurant,Indian cuisine,123121,Department of Economic Development- Dubai,5,,
Restaurant,Indian cuisine,816063,Department of Economic Development- Dubai,0,25.2595481,55.3098112
Warehousing,Not Applicable,715162,Department of Economic Development- Dubai,0,25.286659740670576,55.384477114731226
Restaurant,Indian cuisine,623548,Department of Economic Development- Dubai,14,25.16026202530849,55.40353948376874
Restaurant,Not Applicable,878262,Department of Economic Development- Dubai,0,25.21529985296275,55.25025587163084
