"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Restaurant","Chinese cuisine","567354","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","206421","Department of Economic Development- Dubai","25.17290107679641,55.390334579478804","1205.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","808984","Department of Economic Development- Dubai","25.21767449391938,55.418438014893354","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","203303","Department of Economic Development- Dubai","25.177213813988452,55.452847480773926","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Turkish cuisine","547026","Department of Economic Development- Dubai","25.2708988,55.3076012","0.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Others","580746","Department of Economic Development- Dubai","25.223111828167045,55.35652113883362","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.261861600000003,55.3254198","13.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.145098259642005,55.22505350410938","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","100974","Department of Economic Development- Dubai","25.27398194259623,55.30359677000888","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","1334392","Department of Economic Development- Dubai","24.99414873086728,55.10913848876953","1.00","2026-06-29T16:24:56.000Z"
"Private Hospital","International cuisine","621437","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","16.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","1409817","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","233430","Department of Economic Development- Dubai","25.118868202977648,55.20036081093752","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Mediterranean Cuisine","546506","Department of Economic Development- Dubai","25.225420431279083,55.28347457459313","10.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","785335","Department of Economic Development- Dubai","25.149092311522505, 55.28613066007022","10.00","2026-06-29T16:24:56.000Z"
"Supermarket","Others","691638","Department of Economic Development- Dubai",",","10.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","539820","Department of Economic Development- Dubai","25.23364144653797,55.280247909521904","11.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","108372","Department of Economic Development- Dubai","25.25752631540298,55.28542432934046","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1128051","Department of Economic Development- Dubai","25.209064279427476,55.260876417160034","15.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","700481","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","300367","Department of Economic Development- Dubai","25.262036000000002,55.3152179","1.00","2026-06-29T16:24:56.000Z"
"Hotel","International cuisine","992156","Department of Economic Development- Dubai","25.1006369204645,55.29031076168541","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","585863","Department of Economic Development- Dubai","25.197398311201525,55.24671167135239","7.00","2026-06-29T16:24:56.000Z"
"Serving more than 50 meals","International cuisine","217213","Department of Economic Development- Dubai","25.066609477965606,55.2102095692901","124.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","613360","Department of Economic Development- Dubai","25.265943310235343,55.35684971024784","8.00","2026-06-29T16:24:56.000Z"
"Catering Services","Others","628505","Department of Economic Development- Dubai","25.2621348,55.3151216","2.00","2026-06-29T16:24:56.000Z"
"Fruit Juice Manufacturing","Not Applicable","541188","Department of Economic Development- Dubai","24.985634994654546,55.11177778244041","419.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","944483","Department of Economic Development- Dubai","23.424076,53.847818","0.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","","519241","Department of Economic Development- Dubai","25.27752180010555,55.3101812026209","5.00","2026-06-29T16:24:56.000Z"
"Basic Food Hygiene Training","International cuisine","605982","Department of Economic Development- Dubai","25.204929,55.270840","3.00","2026-06-29T16:24:56.000Z"
"Flavour and Fragrances Manufacturing","Not Applicable","506043","Department of Economic Development- Dubai","24.85910974208704,55.052410612272524","30.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","929932","Department of Economic Development- Dubai","25.2263969,55.2797959","4.00","2026-06-29T16:24:56.000Z"
"Supermarket","Indian cuisine","748698","Department of Economic Development- Dubai","25.26615228604693,55.324135997861376","59.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","Not Applicable","719125","Department of Economic Development- Dubai","24.925227,54.9969743","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Pastry Preparing","International cuisine","525248","Department of Economic Development- Dubai","25.27731700512589,55.327738523483276","8.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","574368","Department of Economic Development- Dubai","25.169645819397736,55.2415822191557","11.00","2026-06-29T16:24:56.000Z"
"Food Stuff Supply Services","Not Applicable","623932","Department of Economic Development- Dubai","25.3184575,55.3774059","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1055177","Department of Economic Development- Dubai",",","48.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.262085499999998,55.3151185","15.00","2026-06-29T16:24:56.000Z"
"Spices Trading","Arabic cuisine","656643","Department of Economic Development- Dubai","25.27768958439128,55.34974755858957","6.00","2026-06-29T16:24:56.000Z"
"Private Hospital","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","38.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Indian cuisine","548685","Department of Economic Development- Dubai","25.204929,55.270840","11.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","564368","Department of Economic Development- Dubai","25.20287347107289,55.27791950851679","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.07191681784736,55.30620574951172","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Italian Cuisine","798641","Department of Economic Development- Dubai","25.22260660614587,55.43401203836379","0.00","2026-06-29T16:24:56.000Z"
"Private Hospital","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"General Trading","International cuisine","1151422","Department of Economic Development- Dubai","25.22445135727583,55.37412464618683","3.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","Not Applicable","937822","Department of Economic Development- Dubai","25.218896199460723,55.25311764790832","8.00","2026-06-29T16:24:56.000Z"
"Restaurant","Chinese cuisine","966464","Department of Economic Development- Dubai","25.0796389,55.1444787","24.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","616460","Department of Economic Development- Dubai","25.204929,55.270840","28.00","2026-06-29T16:24:56.000Z"
"Basic Food Hygiene Training","International cuisine","685616","Department of Economic Development- Dubai","25.223144546215075,55.30990523920898","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.197718673081496,55.27848243713379","8.00","2026-06-29T16:24:56.000Z"
"Mini Store","International cuisine","233414","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","1099286","Department of Economic Development- Dubai","25.17863707674739,55.23127800322823","4.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","794090","Department of Economic Development- Dubai","25.079126470234343,55.12380442888183","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","694901","Department of Economic Development- Dubai","25.271014137851928,55.30081402101756","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","632416","Department of Economic Development- Dubai","25.272716980852387,55.31376060975231","8.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","572597","Department of Economic Development- Dubai","25.173616435235456,55.38686410859833","13.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","217213","Department of Economic Development- Dubai","25.261485399999998,55.3150938","1.00","2026-06-29T16:24:56.000Z"
"Mini Store","Not Applicable","1096796","Department of Economic Development- Dubai","25.2676569,55.3919622","11.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","1065710","Department of Economic Development- Dubai","25.034356126261272,55.59757947921753","6.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","International cuisine","1255283","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","684266","Department of Economic Development- Dubai","25.25616574425693,55.30614137649536","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Chinese cuisine","609308","Department of Economic Development- Dubai","25.204929,55.270840","30.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","Not Applicable","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","1032688","Department of Economic Development- Dubai","25.261870844627662,55.29013574578312","14.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","683250","Department of Economic Development- Dubai","25.24283637461866,55.29990524053585","1.00","2026-06-29T16:24:56.000Z"
"Private Hospital","International cuisine","217213","Department of Economic Development- Dubai","25.23255479962,55.320989179515095","92.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","794090","Department of Economic Development- Dubai","25.164008101177473,55.20758628845215","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","575308","Department of Economic Development- Dubai","25.116880431736554,55.20659510619568","4.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","659299","Department of Economic Development- Dubai","25.062354002678827,55.24917125701904","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","633856","Department of Economic Development- Dubai","25.270359129723808,55.29819321472062","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","217213","Department of Economic Development- Dubai",",","24.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","665730","Department of Economic Development- Dubai","25.046888839329757,55.23108697713185","61.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","24.93354982756001,55.052104214935305","10.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Others","628505","Department of Economic Development- Dubai","25.262088,55.3151326","2.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","International cuisine","826980","Department of Economic Development- Dubai",",","60.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","514209","Department of Economic Development- Dubai","25.265159310132145,55.31924974219566","25.00","2026-06-29T16:24:56.000Z"
"General Trading","International cuisine","567245","Department of Economic Development- Dubai","25.13550292104417,55.22987477481365","37.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","936671","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","567867","Department of Economic Development- Dubai","25.170145348425844,55.392204533577456","14.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","782434","Department of Economic Development- Dubai","25.204849,55.270783","11.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","10.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","591483","Department of Economic Development- Dubai","25.086060775433236,55.140846893515594","43.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","International cuisine","217213","Department of Economic Development- Dubai","24.4538, 54.3774","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","813445","Department of Economic Development- Dubai","25.0632372,55.2414184","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","649732","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","508356","Department of Economic Development- Dubai","25.259869546239475,55.296536310095235","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.261515799999998,55.315111599999994","1.00","2026-06-29T16:24:56.000Z"
"Governmental Hospital","Not Applicable","217213","Department of Economic Development- Dubai","25.233181, 55.321037","5.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.073471676576094,55.30998229980469","1.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","International cuisine","201716","Department of Economic Development- Dubai","25.261320500000004,55.315429200000004","5.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","796607","Department of Economic Development- Dubai","25.2679165,55.2940798","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","243895","Department of Economic Development- Dubai","25.2826669,55.3514095","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","229443","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","979184","Department of Economic Development- Dubai","25.07113938108024,55.307579040527344","1.00","2026-06-29T16:24:56.000Z"
"Dates Drying & Packaging","Others","777405","Department of Economic Development- Dubai","24.97858920116425,55.166473388671875","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","857178","Department of Economic Development- Dubai","25.161427479592973,55.048537999391556","9.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","585863","Department of Economic Development- Dubai","25.182208,55.259136","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","632195","Department of Economic Development- Dubai","25.262280518102525,55.30017791404964","12.00","2026-06-29T16:24:56.000Z"
"Hotel","International cuisine","547218","Department of Economic Development- Dubai","25.22147152886222,55.288295257340145","17.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.262085499999998,55.3151185","11.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2621555,55.3151704","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","790285","Department of Economic Development- Dubai","25.147092896993584,55.19706728692073","74.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","25.077566635780247,55.124734711823976","17.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","762987","Department of Economic Development- Dubai","25.099339259576443,55.20042713731527","2.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","1014992","Department of Economic Development- Dubai","25.276211021345937,55.37504196166992","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","International cuisine","628505","Department of Economic Development- Dubai","25.262112899999998,55.315048999999995","3.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","570586","Department of Economic Development- Dubai",",","27.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.260901,55.3177373","5.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","567245","Department of Economic Development- Dubai","25.2674048, 55.3484288","3.00","2026-06-29T16:24:56.000Z"
"Bakery Products Manufacturing","International cuisine","993240","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Arabic cuisine","217213","Department of Economic Development- Dubai","25.246685467454522,55.339968101696755","4.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","25.132567257450013,55.120132638647895","1.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","1245917","Department of Economic Development- Dubai",",","18.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Others","760581","Department of Economic Development- Dubai","","7.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Arabic cuisine","217213","Department of Economic Development- Dubai","25.261861600000003,55.3254198","3.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","30849","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","766189","Department of Economic Development- Dubai","24.924212, 55.010277","2.00","2026-06-29T16:24:56.000Z"
"Hotel","International cuisine","1322275","Department of Economic Development- Dubai","25.1801881, 55.2719872","10.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.189437676681735,55.240679970336934","9.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","785335","Department of Economic Development- Dubai","25.209196717364552,55.2484555130597","10.00","2026-06-29T16:24:56.000Z"
"Supermarket","Others","534960","Department of Economic Development- Dubai","25.204929,55.270840","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","895889","Department of Economic Development- Dubai",",","73.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","25.13238626179579,55.12063980102539","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","747676","Department of Economic Development- Dubai","25.141196421823036,55.21777953238052","20.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai",",","42.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","826922","Department of Economic Development- Dubai","25.23581388093051,55.43608367443085","32.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","689520","Department of Economic Development- Dubai","25.20801493505961,55.262527143783586","3.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","1019547","Department of Economic Development- Dubai","25.128578657407946,55.21247863769531","20.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1043417","Department of Economic Development- Dubai",",","15.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.200819101513655,55.274892300367355","11.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","835086","Department of Economic Development- Dubai","25.10033252002548,55.16876704505082","21.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","936928","Department of Economic Development- Dubai","25.15634060660111,55.255847758108544","54.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","785335","Department of Economic Development- Dubai","25.0479262,55.1350061","400.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","206915","Department of Economic Development- Dubai",",","43.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","617128","Department of Economic Development- Dubai","25.21631368945223,55.40859941393137","26.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","684797","Department of Economic Development- Dubai","25.184869409631123,55.409227194904815","16.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","736414","Department of Economic Development- Dubai","25.209055851684873,55.27271838688049","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","127271","Department of Economic Development- Dubai","25.228534980792418,55.43357498535157","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","532781","Department of Economic Development- Dubai","25.21989252120158,55.279819126844025","1.00","2026-06-29T16:24:56.000Z"
"Serving more than 50 meals","Not Applicable","217213","Department of Economic Development- Dubai","25.14328776833536,55.246347552125144","242.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","Not Applicable","719125","Department of Economic Development- Dubai","24.925227,54.9969743","1.00","2026-06-29T16:24:56.000Z"
"Global Village","International cuisine","849212","Department of Economic Development- Dubai","25.07135317668312,55.30846416950226","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Others","689501","Department of Economic Development- Dubai","25.204929,55.270840","3.00","2026-06-29T16:24:56.000Z"
"Kitchen Center (Cloud Kitchen)","International cuisine","1166292","Department of Economic Development- Dubai","25.270960492629534,55.32854553312063","51.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","822456","Department of Economic Development- Dubai","25.00080905079243,55.149719590202494","35.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Others","718812","Department of Economic Development- Dubai","25.23071899406557,55.263421009864814","22.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Arabic cuisine","523280","Department of Economic Development- Dubai","25.15998932762532,55.27388259205867","1.00","2026-06-29T16:24:56.000Z"
"Supply Outside Dubai","African cuisine","752558","Department of Economic Development- Dubai",",","69.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","560794","Department of Economic Development- Dubai","25.26472322047234,55.294034598300186","29.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai",",","27.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","16.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Others","822728","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Bakery Products Manufacturing","Not Applicable","804602","Department of Economic Development- Dubai","24.996580112568875,55.127979701928695","46.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","623847","Department of Economic Development- Dubai","25.16938530429112,55.24187885898914","15.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","American Cuisine","572244","Department of Economic Development- Dubai","25.204929,55.270840","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","545242","Department of Economic Development- Dubai","25.27160942209104,55.302307549491275","0.00","2026-06-29T16:24:56.000Z"
